"Latitude" "Longitude" "Crop" "SoilSampleID" "Se" "Zn" "Bio1" "Bio12" "EVI" "MB1" "MB2" "MB3" "MB7" "Slope" "TIM" "ph" "org"
9.03026791 38.14562632 "Teff" "GeoN-ETH18-Soil-1702" 0.0493 33.18153457 166 1179 2390 962 2300 523 1444 2.744942904 8.574868202 5.71 2.219
9.036200638 37.83832443 "Teff" "GeoN-ETH18-Soil-2488" 0.0412 29.31889093 175 1303 3556 651 2553 408 1124 6.802528381 11.87915039 6.41 2.148
9.041211469 38.09529376 "Teff" "GeoN-ETH18-Soil-2352" 0.157049135 34.69062813 166 1021 2268 757 1979 408 1160 2.024168968 11.44525051 6.51 2.01
9.045317932 39.68910709 "Teff" "GeoN-ETH18-Soil-2219" 0.121485054 29.05125742 218 829 1749 1463 2547 734 2214 1.056416392 9.690695763 8.36 1.0137
9.085555049 38.90649444 "Teff" "GeoN-ETH18-Soil-1799" 0.152601368 28.15166787 156 909 2766.5 869 2374.5 508.5 1395.5 1.569592893 12.8182354 5.98 1.719
9.086202656 38.90509143 "Teff" "GeoN-ETH18-Soil-1798" 0.154845796 26.81348734 156 909 2620 891 2312 515 1402 1.597805381 12.65513611 5.48 2.369
9.111200461 36.87930772 "Teff" "GeoN-ETH18-Soil-2167" 0.0204 33.32049179 175 1863 3169 851 2621 496 1316 4.709467411 8.111987114 4.94 2.465
9.139465036 37.67476965 "Teff" "GeoN-ETH18-Soil-2354" 0.00644 23.22332251 184 1217 3491 847 2827 482 1245 24.12973785 7.412548065 6.1 2.604
9.146092151 39.54609175 "Teff" "GeoN-ETH18-Soil-2215" 0.017 27.69266712 184 1022 2374 1067 2474 540 1394 12.53460884 7.186611652 6.23 1.098
9.161723636 39.1524217 "Teff" "GeoN-ETH18-Soil-1793" 0.2993889215 25.127245435 151 1122 2072.5 892 2024 521.5 1465.5 0.9199020565 10.871837135 6.975 1.20985
9.162267563 39.15430591 "Teff" "GeoN-ETH18-Soil-1794" 0.467318403 22.59921541 151 1122 1956 863 1912 518 1425 1.152249336 11.4332962 7.83 0.9567
9.169642707 36.80838829 "Teff" "GeoN-ETH18-Soil-2182" 0.0195 25.13486231 169 1447 3549 771 2790 470 1168 3.563145638 7.874132156 4.92 4.067
9.217194359 37.35626659 "Teff" "GeoN-ETH18-Soil-2316" 0.01925 31.474952195 156 1340.5 2808 847 2439.5 439.5 1253.5 6.3038871285 8.058435917 4.85 1.976
9.217628404 37.35499177 "Teff" "GeoN-ETH18-Soil-2315" 0.0208 32.46951648 158 1307 2811 835 2414 443 1259 8.050001144 8.905985832 4.62 1.413
9.231611431 36.88046522 "Teff" "GeoN-ETH18-Soil-2168" 0.0336 28.99344079 180 1314 3787 695 2826 375 1098 3.619518757 7.701749325 4.82 4.442
9.273498835 38.58620901 "Teff" "GeoN-ETH18-Soil-1812" 0.0935 32.08407332 148 992 3543 871 2895 476 1525 1.528553247 13.8185358 5.51 2.529
